2024-01-12 10:46:53 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:54 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:54 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:54 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:54 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:54 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:54 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:55 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:55 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:55 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:55 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:55 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:55 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:56 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:56 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:56 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:56 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:56 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:56 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:56 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:57 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:57 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:57 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:57 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:57 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:57 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:58 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:58 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:58 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:58 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:58 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:58 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:59 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:59 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:59 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:59 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:59 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 10:46:59 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
