2024-01-12 08:44:26 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:27 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:28 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:28 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:29 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:29 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:30 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:30 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:31 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:31 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:32 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:33 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:33 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:34 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:34 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:35 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:35 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:36 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:36 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:37 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:38 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:38 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:39 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:39 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:40 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:40 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:41 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:42 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:42 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:43 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:43 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:44 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:44 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:45 - GPU 0: Used Memory 0.0MB, Total Memory 16376.0MB, Usage 0.0%
2024-01-12 08:44:45 - GPU 0: Used Memory 403.0MB, Total Memory 16376.0MB, Usage 2.4609184171958964%
2024-01-12 08:44:46 - GPU 0: Used Memory 639.0MB, Total Memory 16376.0MB, Usage 3.9020517830972157%
2024-01-12 08:44:47 - GPU 0: Used Memory 1065.0MB, Total Memory 16376.0MB, Usage 6.503419638495359%
2024-01-12 08:44:47 - GPU 0: Used Memory 1497.0MB, Total Memory 16376.0MB, Usage 9.141426477772349%
2024-01-12 08:44:48 - GPU 0: Used Memory 5929.0MB, Total Memory 16376.0MB, Usage 36.20542256961407%
2024-01-12 08:44:48 - GPU 0: Used Memory 5929.0MB, Total Memory 16376.0MB, Usage 36.20542256961407%
2024-01-12 08:44:49 - GPU 0: Used Memory 5929.0MB, Total Memory 16376.0MB, Usage 36.20542256961407%
2024-01-12 08:44:49 - GPU 0: Used Memory 5929.0MB, Total Memory 16376.0MB, Usage 36.20542256961407%
2024-01-12 08:44:50 - GPU 0: Used Memory 5929.0MB, Total Memory 16376.0MB, Usage 36.20542256961407%
2024-01-12 08:44:51 - GPU 0: Used Memory 5929.0MB, Total Memory 16376.0MB, Usage 36.20542256961407%
2024-01-12 08:44:51 - GPU 0: Used Memory 5929.0MB, Total Memory 16376.0MB, Usage 36.20542256961407%
2024-01-12 08:44:52 - GPU 0: Used Memory 5929.0MB, Total Memory 16376.0MB, Usage 36.20542256961407%
2024-01-12 08:44:52 - GPU 0: Used Memory 5929.0MB, Total Memory 16376.0MB, Usage 36.20542256961407%
2024-01-12 08:44:53 - GPU 0: Used Memory 5929.0MB, Total Memory 16376.0MB, Usage 36.20542256961407%
2024-01-12 08:44:53 - GPU 0: Used Memory 5929.0MB, Total Memory 16376.0MB, Usage 36.20542256961407%
2024-01-12 08:44:54 - GPU 0: Used Memory 5929.0MB, Total Memory 16376.0MB, Usage 36.20542256961407%
2024-01-12 08:44:55 - GPU 0: Used Memory 5929.0MB, Total Memory 16376.0MB, Usage 36.20542256961407%
2024-01-12 08:44:55 - GPU 0: Used Memory 5929.0MB, Total Memory 16376.0MB, Usage 36.20542256961407%
2024-01-12 08:44:56 - GPU 0: Used Memory 5929.0MB, Total Memory 16376.0MB, Usage 36.20542256961407%
2024-01-12 08:44:57 - GPU 0: Used Memory 5929.0MB, Total Memory 16376.0MB, Usage 36.20542256961407%
2024-01-12 08:44:57 - GPU 0: Used Memory 5929.0MB, Total Memory 16376.0MB, Usage 36.20542256961407%
2024-01-12 08:44:58 - GPU 0: Used Memory 5929.0MB, Total Memory 16376.0MB, Usage 36.20542256961407%
2024-01-12 08:44:59 - GPU 0: Used Memory 5929.0MB, Total Memory 16376.0MB, Usage 36.20542256961407%
2024-01-12 08:45:00 - GPU 0: Used Memory 5929.0MB, Total Memory 16376.0MB, Usage 36.20542256961407%
2024-01-12 08:45:00 - GPU 0: Used Memory 5929.0MB, Total Memory 16376.0MB, Usage 36.20542256961407%
2024-01-12 08:45:01 - GPU 0: Used Memory 5929.0MB, Total Memory 16376.0MB, Usage 36.20542256961407%
2024-01-12 08:45:01 - GPU 0: Used Memory 5929.0MB, Total Memory 16376.0MB, Usage 36.20542256961407%
2024-01-12 08:45:02 - GPU 0: Used Memory 5929.0MB, Total Memory 16376.0MB, Usage 36.20542256961407%
2024-01-12 08:45:03 - GPU 0: Used Memory 5929.0MB, Total Memory 16376.0MB, Usage 36.20542256961407%
2024-01-12 08:45:03 - GPU 0: Used Memory 5929.0MB, Total Memory 16376.0MB, Usage 36.20542256961407%
2024-01-12 08:45:04 - GPU 0: Used Memory 5929.0MB, Total Memory 16376.0MB, Usage 36.20542256961407%
2024-01-12 08:45:04 - GPU 0: Used Memory 5929.0MB, Total Memory 16376.0MB, Usage 36.20542256961407%
2024-01-12 08:45:05 - GPU 0: Used Memory 5929.0MB, Total Memory 16376.0MB, Usage 36.20542256961407%
2024-01-12 08:45:06 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:06 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:07 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:07 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:08 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:09 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:09 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:10 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:10 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:11 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:12 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:12 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:13 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:13 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:14 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:14 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:15 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:16 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:16 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:17 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:17 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:18 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:18 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:19 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:20 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:20 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:21 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:21 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:22 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:23 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:23 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:45:24 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
