Iter:      0,  Train Loss:   2.4,  Train Acc: 10.16%,  Val Loss:   2.4,  Val Acc:  9.08%,  Time: 0:00:19 *
Iter:    100,  Train Loss:  0.39,  Train Acc: 87.50%,  Val Loss:  0.37,  Val Acc: 89.32%,  Time: 0:00:52 *
Iter:    200,  Train Loss:  0.38,  Train Acc: 90.62%,  Val Loss:  0.33,  Val Acc: 90.32%,  Time: 0:01:25 *
Iter:    300,  Train Loss:  0.29,  Train Acc: 92.97%,  Val Loss:  0.32,  Val Acc: 90.58%,  Time: 0:01:58 *
Iter:    400,  Train Loss:  0.36,  Train Acc: 88.28%,  Val Loss:  0.26,  Val Acc: 91.58%,  Time: 0:02:31 *
Iter:    500,  Train Loss:  0.24,  Train Acc: 92.19%,  Val Loss:  0.25,  Val Acc: 92.16%,  Time: 0:03:04 *
Iter:    600,  Train Loss:  0.22,  Train Acc: 92.97%,  Val Loss:  0.25,  Val Acc: 92.08%,  Time: 0:03:38 *
Iter:    700,  Train Loss:  0.21,  Train Acc: 92.97%,  Val Loss:  0.24,  Val Acc: 92.50%,  Time: 0:04:11 *
Iter:    800,  Train Loss:  0.17,  Train Acc: 93.75%,  Val Loss:  0.22,  Val Acc: 92.78%,  Time: 0:04:44 *
Iter:    900,  Train Loss:  0.22,  Train Acc: 92.97%,  Val Loss:  0.21,  Val Acc: 93.04%,  Time: 0:05:17 *
Iter:   1000,  Train Loss:  0.17,  Train Acc: 93.75%,  Val Loss:  0.21,  Val Acc: 93.05%,  Time: 0:05:50 *
Iter:   1100,  Train Loss:  0.22,  Train Acc: 92.19%,  Val Loss:   0.2,  Val Acc: 93.33%,  Time: 0:06:24 *
Iter:   1200,  Train Loss:  0.19,  Train Acc: 94.53%,  Val Loss:   0.2,  Val Acc: 93.31%,  Time: 0:06:57 *
Iter:   1300,  Train Loss:   0.2,  Train Acc: 92.19%,  Val Loss:   0.2,  Val Acc: 93.53%,  Time: 0:07:30 *
Iter:   1400,  Train Loss:  0.33,  Train Acc: 89.84%,  Val Loss:  0.19,  Val Acc: 93.65%,  Time: 0:08:03 *
Iter:   1500,  Train Loss:  0.15,  Train Acc: 94.53%,  Val Loss:  0.19,  Val Acc: 93.69%,  Time: 0:08:36 *
Iter:   1600,  Train Loss:  0.17,  Train Acc: 92.97%,  Val Loss:  0.19,  Val Acc: 93.79%,  Time: 0:09:04 
Iter:   1700,  Train Loss:  0.16,  Train Acc: 94.53%,  Val Loss:   0.2,  Val Acc: 93.64%,  Time: 0:09:32 
Iter:   1800,  Train Loss:  0.12,  Train Acc: 96.88%,  Val Loss:   0.2,  Val Acc: 93.80%,  Time: 0:10:01 
Iter:   1900,  Train Loss:  0.13,  Train Acc: 96.09%,  Val Loss:  0.19,  Val Acc: 93.94%,  Time: 0:10:34 *
Iter:   2000,  Train Loss:  0.14,  Train Acc: 96.88%,  Val Loss:   0.2,  Val Acc: 93.73%,  Time: 0:11:02 
Iter:   2100,  Train Loss:  0.15,  Train Acc: 96.09%,  Val Loss:  0.19,  Val Acc: 93.88%,  Time: 0:11:31 
Iter:   2200,  Train Loss: 0.094,  Train Acc: 96.88%,  Val Loss:  0.19,  Val Acc: 94.08%,  Time: 0:11:59 
Iter:   2300,  Train Loss: 0.094,  Train Acc: 97.66%,  Val Loss:  0.19,  Val Acc: 94.06%,  Time: 0:12:32 *
Iter:   2400,  Train Loss: 0.075,  Train Acc: 97.66%,  Val Loss:  0.19,  Val Acc: 94.08%,  Time: 0:13:01 
Iter:   2500,  Train Loss:  0.09,  Train Acc: 97.66%,  Val Loss:  0.19,  Val Acc: 94.01%,  Time: 0:13:30 
Iter:   2600,  Train Loss:  0.15,  Train Acc: 96.09%,  Val Loss:  0.19,  Val Acc: 93.99%,  Time: 0:13:59 
Iter:   2700,  Train Loss:  0.13,  Train Acc: 96.09%,  Val Loss:  0.19,  Val Acc: 94.02%,  Time: 0:14:27 
Iter:   2800,  Train Loss: 0.094,  Train Acc: 97.66%,  Val Loss:  0.18,  Val Acc: 94.08%,  Time: 0:15:01 *
Iter:   2900,  Train Loss:  0.11,  Train Acc: 96.88%,  Val Loss:  0.19,  Val Acc: 94.05%,  Time: 0:15:29 
Iter:   3000,  Train Loss: 0.076,  Train Acc: 98.44%,  Val Loss:  0.19,  Val Acc: 94.25%,  Time: 0:15:58 
Iter:   3100,  Train Loss: 0.065,  Train Acc: 97.66%,  Val Loss:  0.19,  Val Acc: 94.32%,  Time: 0:16:26 
Iter:   3200,  Train Loss:  0.16,  Train Acc: 96.88%,  Val Loss:  0.19,  Val Acc: 94.11%,  Time: 0:16:55 
Iter:   3300,  Train Loss: 0.045,  Train Acc: 97.66%,  Val Loss:  0.19,  Val Acc: 94.17%,  Time: 0:17:23 
Iter:   3400,  Train Loss: 0.041,  Train Acc: 98.44%,  Val Loss:   0.2,  Val Acc: 94.14%,  Time: 0:17:52 
Iter:   3500,  Train Loss: 0.072,  Train Acc: 96.88%,  Val Loss:   0.2,  Val Acc: 94.32%,  Time: 0:18:21 
Iter:   3600,  Train Loss:  0.02,  Train Acc: 100.00%,  Val Loss:   0.2,  Val Acc: 94.42%,  Time: 0:18:50 
Iter:   3700,  Train Loss:  0.11,  Train Acc: 95.31%,  Val Loss:   0.2,  Val Acc: 94.18%,  Time: 0:19:19 
Iter:   3800,  Train Loss: 0.062,  Train Acc: 98.44%,  Val Loss:   0.2,  Val Acc: 94.46%,  Time: 0:19:47 
